id, title,                 artist,              genre,      mood,       energy, tempo_bpm, valence, danceability, acousticness
1,  Sunrise City,          Neon Echo,           pop,        happy,      0.82,   118,       0.84,    0.79,         0.18
2,  Midnight Coding,       LoRoom,              lofi,       chill,      0.42,   78,        0.56,    0.62,         0.71
3,  Storm Runner,          Voltline,            rock,       intense,    0.91,   152,       0.48,    0.66,         0.10
4,  Library Rain,          Paper Lanterns,      lofi,       chill,      0.35,   72,        0.60,    0.58,         0.86
5,  Gym Hero,              Max Pulse,           pop,        intense,    0.93,   132,       0.77,    0.88,         0.05
6,  Spacewalk Thoughts,    Orbit Bloom,         ambient,    chill,      0.28,   60,        0.65,    0.41,         0.92
7,  Coffee Shop Stories,   Slow Stereo,         jazz,       relaxed,    0.37,   90,        0.71,    0.54,         0.89
8,  Night Drive Loop,      Neon Echo,           synthwave,  moody,      0.75,   110,       0.49,    0.73,         0.22
9,  Focus Flow,            LoRoom,              lofi,       focused,    0.40,   80,        0.59,    0.60,         0.78
10, Rooftop Lights,        Indigo Parade,       indie pop,  happy,      0.76,   124,       0.81,    0.82,         0.35
11, Clair de Lune,         Claude Debussy,      classical,  calm,       0.08,   66,        0.22,    0.12,         0.98
12, Master of Puppets,     Metallica,           metal,      intense,    0.98,   110,       0.25,    0.47,         0.12
13, Get Lucky,             Daft Punk,           disco,      happy,      0.79,   116,       0.87,    0.88,         0.12
14, HUMBLE.,               Kendrick Lamar,      hip hop,    intense,    0.65,   150,       0.35,    0.80,         0.19
15, Jolene,                Dolly Parton,        country,    nostalgic,  0.58,   110,       0.62,    0.61,         0.73
16, "No Woman No Cry",     Bob Marley,          reggae,     relaxed,    0.55,   78,        0.74,    0.74,         0.58
17, bad guy,               Billie Eilish,       pop,        moody,      0.43,   135,       0.56,    0.70,         0.33
18, Strobe,                deadmau5,            edm,        focused,    0.86,   128,       0.35,    0.72,         0.12
19, So What,               Miles Davis,         jazz,       cool,       0.45,   138,       0.45,    0.50,         0.67
20, Hallelujah,            Jeff Buckley,        folk,       sad,        0.24,   55,        0.26,    0.31,         0.93
